author,id,title
65,1513,"Romeo and Juliet"
65,100,"The Complete Works of William Shakespeare"
65,27761,"Hamlet, Prince of Denmark"
65,23042,"The Tempest"
65,1533,"Macbeth"
65,1514,"A Midsummer Night's Dream"
65,1531,"Othello, the Moor of Venice"
65,1522,"Julius Caesar"
65,1515,"The Merchant of Venice"
65,1526,"Twelfth Night; Or, What You Will"
65,1519,"Much Ado about Nothing"
65,1041,"Shakespeare's Sonnets"
65,1430,"Beautiful Stories from Shakespeare"
65,1532,"The Tragedy of King Lear"
65,47960,"Shakespeare's Tragedy of Romeo and Juliet"
65,1508,"The Taming of the Shrew"
65,23046,"The Comedy of Errors"
65,1112,"The Tragedy of Romeo and Juliet"
65,23045,"Measure for Measure"
65,1534,"Antony and Cleopatra"
65,1523,"As You Like It"
65,28334,"The New Hudson Shakespeare: Julius Cæsar"
65,1539,"The Winter's Tale"
65,43440,"Arden of Feversham"
61,84,"Frankenstein; Or, The Modern Prometheus"
61,18247,"The Last Man"
61,15238,"Mathilda"
61,56665,"Tales and Stories"
61,65228,"Eminent literary and scientific men of Italy, Spain, and Portugal. Vol. 3 (of 3)"
61,62404,"Frankenstein, ou le Prométhée moderne Volume 1 (of 3) (French)"
61,6447,"Proserpine and Midas"
61,52790,"History of a Six Weeks' Tour Through a Part of France, Switzerland, Germany, and H"
61,4695,"Notes to the Complete Poetical Works of Percy Bysshe Shelley"
61,62405,"Frankenstein, ou le Prométhée moderne Volume 2 (of 3) (French)"
61,65317,"Lives of the most eminent literary and scientific men of France, Vol. 1 (of 2)"
61,64329,"Falkner: A Novel"
61,62406,"Frankenstein, ou le Prométhée moderne Volume 3 (of 3) (French)"
61,66749,"The Fortunes of Perkin Warbeck: a romance"
61,65030,"Eminent literary and scientific men of Italy, Spain, and Portugal. Vol. 1 (of 3)"
61,65361,"Lives of the most eminent literary and scientific men of France, Vol. 2 (of 2)"
61,74280,"Rambles in Germany and Italy in 1840, 1842, and 1843, vol. 1 of 2"
61,65110,"Eminent literary and scientific men of Italy, Spain, and Portugal. Vol. 2 (of 3)"
61,74301,"Rambles in Germany and Italy in 1840, 1842, and 1843, vol. 2 of 2"
61,63337,"Valperga Volume 1 (of 3)"
61,63338,"Valperga Volume 2 (of 3)"
37,98,"A Tale of Two Cities"
37,1400,"Great Expectations"
37,46,"A Christmas Carol in Prose; Being a Ghost Story of Christmas"
37,730,"Oliver Twist"
37,786,"Hard Times"
37,766,"David Copperfield"
37,24022,"A Christmas Carol"
37,1023,"Bleak House"
37,580,"The Pickwick Papers"
37,675,"American Notes"
37,883,"Our Mutual Friend"
37,967,"Nicholas Nickleby"
37,700,"The Old Curiosity Shop"
37,963,"Little Dorrit"
37,1289,"Three Ghost Stories"
37,821,"Dombey and Son"
37,564,"The Mystery of Edwin Drood"
37,882,"Sketches by Boz, Illustrative of Every-Day Life and Every-Day People"
37,968,"Martin Chuzzlewit"
37,47529,"Oliver Twist, Vol. 1 (of 3)"
37,917,"Barnaby Rudge: A Tale of the Riots of 'Eighty"
37,914,"The Uncommercial Traveller"
37,25852,"The Letters of Charles Dickens. Vol. 1, 1833-1856"
53,76,"Adventures of Huckleberry Finn"
53,74,"The Adventures of Tom Sawyer, Complete"
53,1837,"The Prince and the Pauper"
53,245,"Life on the Mississippi"
53,3176,"The Innocents Abroad"
53,3177,"Roughing It"
53,3178,"The Gilded Age: A Tale of Today"
53,8525,"Eve's Diary, Complete"
